Country,credit rating
Albania,B+
Andorra,BBB
Angola,CCC+
Argentina,CCC+
Armenia,B+
Aruba,BBB+
Australia,AAA
Austria,AA+
Azerbaijan,BB+
Bahamas,B+
Bahrain,B+
Bangladesh,BB-
Barbados,B-
Belarus,CC
Belgium,AA
Belize,B-
Benin,B+
Bermuda,A+
Bolivia,B+
Bosnia and Herzegovina,B
Botswana,BBB+
Brazil,BB-
Bulgaria,BBB
Burkina Faso,CCC+
Cambodia,B
Cameroon,B-
Canada,AAA
Cape Verde,B-
Chile,A+
China,A+
Colombia,BBB-
Costa Rica,B+
Croatia,NR
Cuba,
Cyprus,BBB-
Czechia,AA-
Democratic Republic of the Congo,B-
Denmark,AAA
Dominican Republic,BB-
Ecuador,CCC-
Egypt,B
El Salvador,NR
Estonia,AA-
Ethiopia,CCC
Fiji,BB-
Finland,AA+
France,AA
Gabon,B
Gambia,
Georgia,BB
Germany,AAA
Ghana,CCC
Greece,BB-
Grenada,BB-
Guatemala,BB-
Honduras,BB-
Hong Kong,NR
Hungary,BBB
Iceland,A
India,BBB-
Indonesia,BBB
Iran,
Iraq,B-
Ireland,AA-
Israel,AA-
Italy,BBB
Ivory Coast,
Jamaica,B+
Japan,A+
Jordan,BB-
Kazakhstan,BBB-
Kenya,B
Kuwait,AA-
Kyrgyzstan,NR
Laos,
Latvia,A-
Lebanon,SD
Lesotho,
Libya,BB
Liechtenstein,AAA
Lithuania,NR
Luxembourg,AAA
Macao,
Madagascar,B-
Malawi,
Malaysia,A-
Maldives,
Mali,B
Malta,A-
Mauritius,
Mexico,BBB
Moldova,
Mongolia,B-
Montenegro,B
Montserrat,BBB-
Morocco,BB+
Mozambique,CCC+
Namibia,
Netherlands,AAA
New Zealand,AA+
Nicaragua,B-
Niger,
Nigeria,B-
North Macedonia,BB-
Norway,AAA
Oman,B+
Pakistan,NR
Panama,BBB
Papua New Guinea,B-
Paraguay,BB
Peru,BBB
Philippines,BBB+
Poland,A-
Portugal,BBB
Puerto Rico,
Qatar,NR
Republic of the Congo,B-
Romania,BBB-
Russia,CC
Rwanda,B+
Saint Vincent and the Grenadines,
San Marino,
Saudi Arabia,A-
Senegal,B+
Serbia,BB+
Seychelles,NR
Singapore,Aaa
Slovakia,A+
Slovenia,NR
Solomon Islands,
South Africa,BB-
South Korea,Aa2
Spain,A
Sri Lanka,CCC
Suriname,CCC-
Swaziland,
Sweden,AAA
Switzerland,AAA
Taiwan,AA-
Tajikistan,B-
Tanzania,
Thailand,BBB+
Togo,B
Trinidad and Tobago,BBB-
Tunisia,NR
Turkey,B+
Turkmenistan,
Uganda,B
Ukraine,B-
United Arab Emirates,AA
United Kingdom,AA
Uruguay,BBB
USA,AA+
Uzbekistan,BB-
Venezuela,CCC-
Vietnam,BB
Zambia,CCC+
